cpu_bench_id,cpu_name,passmark,core,thread,tdp,rated_clock,max_clock,list_price,cost_performance,created_at,updated_at
264,A10-5700,2722,4,4,65,3.4,4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
265,A8-5600K,2702,4,4,100,3.6,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
266,Core i7 920,2695,4,8,130,2.7,2.93,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
267,A8 PRO-7600B,2647,4,4,65,3.1,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
268,Pentium G4400,2616,2,2,54,3.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
269,Pentium G4500T,2593,2,2,35,3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
270,A8-5500,2563,4,4,65,3.2,3.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
271,Core i5 760,2558,4,4,95,2.8,3.33,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
272,Pentium G3470,2444,2,2,53,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
273,Celeron G4900,2407,2,2,54,3.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
274,Celeron G3950,2399,2,2,51,3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
275,Core i5 750,2386,4,4,95,2.67,3.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
276,A8-3870K,2377,4,4,100,3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
277,Core i3 3240,2319,2,4,55,3.4,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
278,Pentium G3460,2302,2,2,53,3.5,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
279,Celeron G3930,2298,2,2,51,2.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
280,Celeron G3900,2222,2,2,51,2.8,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
281,Pentium G3440,2221,2,2,53,3.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
282,Core i3 3220,2199,2,4,55,3.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
283,Core i5 650,2195,2,4,73,3.2,3.46,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
284,Celeron G3920,2181,2,2,51,2.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
285,Pentium G3258,2114,2,2,53,3.2,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
286,Core i3 3240T,2076,2,4,35,2.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
287,Pentium G3260,2044,2,2,53,3.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
288,Core 2 Quad Q6700,2043,4,4,105,2.66,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
289,Core i3 3210,2034,2,4,55,3.2,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
290,Core 2 Quad Q9400,2032,4,4,95,2.66,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
291,Core i3 3220T,2030,2,4,35,2.8,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
292,Core 2 Quad Q8400,2021,4,4,95,2.66,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
293,Celeron G1850,2006,2,2,54,2.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
294,Core i3 2120,1963,2,4,65,3.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
295,Celeron J4025,1946,2,2,10,2,2.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
296,Core 2 Quad Q9450,1942,4,4,95,2.66,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
297,Pentium G2120,1899,2,2,55,3.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
298,Pentium G3240,1885,2,2,53,3.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
299,Celeron G1840,1814,2,2,53,2.8,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
300,Core i3 2100,1801,2,4,65,3.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
301,Athlon Quad-Core 5350,1794,4,4,25,2.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
302,Core 2 Quad Q6600,1777,4,4,105,2.4,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
303,Athlon Quad-Core 5370,1771,4,4,25,2.2,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
304,Core 2 Quad Q8300,1766,4,4,95,2.5,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
305,Core 2 Quad Q8200,1752,4,4,95,2.33,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
306,Pentium G2030,1711,2,2,55,3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
307,Pentium G2020,1656,2,2,55,2.9,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
308,A6-7400K,1638,2,2,65,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
309,Phenom 9650,1631,4,4,95,2.3,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
310,Core i3 550,1625,2,4,73,3.2,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
311,Celeron G1830,1615,2,2,53,2.8,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
312,Core i3 2120T,1613,2,4,35,2.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
